SudokuData
SodukuID,SodukuLevel,SodukuData
1,e,540060078306180020092004500609000705710496000408003100000030900180000257950027000
2,e,015000000938200570000030016802079360000002700170058420000720050386091007057000000
3,e,700100300090020710210040009029400100008050002050031900002300076507090800400705003
4,e,020500038600240000159038000000000000840190052290704083000061379000902004960300020
5,e,036087000002030076900062030010020050600005003590000041340009800000058904100046020
6,e,094250060000090000028016090071502039040080102009034600000000300085300720032800904
7,e,309600500570100040084003700107200300032009600690400050025904800000070005860300470
8,e,000000000901250840047380290005830020402000600380000159610973000003020960029400000
9,e,000062000091030040650900130000000089045307200310006004000000000500270698002683405
10,e,193000002068070013000100080014820060000040008857600000029300007080702609001906804
11,m,500300000020080000000090702400600000050020000010000086260470598040900103300050067
12,m,003402609000700800000030007040003000970806030500090000850040000060307200000020904
13,m,000700300708009061050060000010500000000603004089007050400078000000020900006005240
14,m,690700300000620810000100076960000047030570008070000620300200000040030000700040030
15,m,006000000090000063503004100060200041000000090205000600407100986831006054000487000
16,m,607100908030004600009300005100540360900060050050009200000600120020007000700000503
17,m,018070002000000000740020008400200000063104020000800601820400950005000010000059080
18,m,000000000030049060908570002002064105000000000050320040200783600700051000000690800
19,m,001927005000080020007006841008053000350600000000804053009000072410000600000062504
20,m,002067000006005300701004000409000031280000590000000000000021087000000000000870104
21,h,380410000000000000021803000000000000710000092906000304000580040007060050000020018
22,h,000060003068001007000035600890000050500290001030000006017000304200006000000310068
23,h,000000600003000015402800000040530000950000040000006000010090503008057004000020007
24,h,009000043007008200680020000900700001000090320000043500805000900090206000010070080
25,h,006100080980003000040009100002008070010700008000950340004060003108000004050800090
26,h,800000003030000210700000590020070000600508000040103000004905080000600030005870460
27,h,005000140901000800800020090400300500380010000070640000000007008000560270000004009
28,h,000002459800010000054907000000000800000000300400009062003006000190280000600000281
29,h,600000090092000704058000106010290007000006000006810300070480002000009000005630400
30,h,000000000280000059409000103000000000000120708000078410006500030002760000701400000
